Desempleo,Mujer,EdadJun24,roa,tep_descripcion_clean,SinEduc,Primaria,Secundaria,Superior,apo_salario,Antiguedad,Nivel_Educacion,Genero
0,1,58,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,115,Superior,Mujer
1,1,38,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,993.0,34,Superior,Mujer
1,0,60,2.2994957,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,2400.0,27,Superior,Hombre
0,1,35,23.362444,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,601.0,62,Secundaria,Mujer
1,1,29,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,901.0,3,Superior,Mujer
0,1,60,0.0,EMPLEADOR DOMESTICO,0,1,0,0,460.0,33,Primaria,Mujer
0,0,36,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,570.0,1,Secundaria,Hombre
0,1,54,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,2100.0,233,Superior,Mujer
1,0,29,2.53533,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,707.0,37,Secundaria,Hombre
1,0,20,1.4178888,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,3,Primaria,Hombre
1,0,23,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,466.0,12,Secundaria,Hombre
0,0,27,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,461.0,3,Secundaria,Hombre
0,0,43,5.4873505,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,529.0,28,Primaria,Hombre
0,1,37,15.662013,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,2539.0,112,Superior,Mujer
0,0,19,10.501431,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,3,Primaria,Hombre
1,0,43,4.82127,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,472.0,196,Secundaria,Hombre
1,1,32,24.887808,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,58,Secundaria,Mujer
0,0,27,7.154472,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,471.0,3,Primaria,Hombre
0,1,49,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,1,Superior,Mujer
1,0,51,-0.48466527,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,478.0,0,Primaria,Hombre
1,0,28,1.4710709,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,472.0,4,Primaria,Hombre
1,0,31,0.0,"INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS",0,0,0,1,620.0,31,Superior,Hombre
1,0,47,0.81193465,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,707.0,0,Primaria,Hombre
0,0,55,0.0,CONSTRUCCION,0,0,0,1,460.0,53,Superior,Hombre
1,0,33,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,1676.0,39,Superior,Hombre
1,0,35,6.570615,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,1,Secundaria,Hombre
0,0,37,13.664433,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,461.0,61,Secundaria,Hombre
1,0,31,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,25,Superior,Hombre
1,0,26,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,12,Secundaria,Hombre
0,1,28,10.389995,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,59,Secundaria,Mujer
0,1,26,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,986.0,9,Superior,Mujer
0,0,46,6.4434705,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,106,Secundaria,Hombre
1,1,24,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,986.0,9,Secundaria,Mujer
1,0,51,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1086.0,71,Superior,Hombre
0,1,32,-0.12773536,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,3,Superior,Mujer
0,1,29,3.8415296,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,800.0,11,Superior,Mujer
0,1,34,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,756.0,39,Superior,Mujer
1,0,46,-3.117577,CONSTRUCCION,0,1,0,0,471.0,22,Primaria,Hombre
0,0,24,1.3378813,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,14,Primaria,Hombre
0,1,25,9.59822,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,476.0,3,Secundaria,Mujer
0,1,51,0.0,EMPLEADOR DOMESTICO,0,0,1,0,1200.0,160,Secundaria,Mujer
1,0,37,13.8943815,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,0,Secundaria,Hombre
1,1,42,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,3883.0,5,Superior,Mujer
1,0,37,7.154472,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,937.0,37,Secundaria,Hombre
1,1,46,28.602795,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,41,Primaria,Mujer
1,1,22,1.0896417,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,472.0,3,Secundaria,Mujer
1,0,33,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,817.0,4,Superior,Hombre
1,1,29,-4.2928834,CONSTRUCCION,0,0,1,0,462.0,0,Secundaria,Mujer
0,1,44,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,1108.0,106,Superior,Mujer
1,1,27,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,473.0,1,Secundaria,Mujer
1,1,35,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,460.0,1,Superior,Mujer
0,0,61,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,10,Secundaria,Hombre
1,0,46,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,1,0,0,531.0,5,Primaria,Hombre
0,1,50,0.0,EMPLEADOR DOMESTICO,0,1,0,0,460.0,127,Primaria,Mujer
0,0,28,-5.346387,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,61,Primaria,Hombre
0,1,35,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,700.0,147,Superior,Mujer
1,0,30,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,986.0,1,Superior,Hombre
1,0,26,2.414211,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,773.0,26,Superior,Hombre
1,0,28,-1.8382643,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,14,Primaria,Hombre
